"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 30, 2011","15,454.92","15,583.55","15,694.05","15,406.93","12.86K","-0.57%"
"Dec 29, 2011","15,543.93","15,658.94","15,724.60","15,515.44","12.76K","-1.17%"
"Dec 28, 2011","15,727.85","15,854.36","15,887.80","15,666.46","11.85K","-0.92%"
"Dec 27, 2011","15,873.95","15,983.98","16,049.12","15,799.63","10.82K","-0.61%"
"Dec 26, 2011","15,970.75","15,782.17","15,998.44","15,761.18","11.77K","1.47%"
"Dec 23, 2011","15,738.70","15,863.43","15,911.23","15,671.28","17.04K","-0.47%"
"Dec 22, 2011","15,813.36","15,546.66","15,834.63","15,472.70","18.89K","0.82%"
"Dec 21, 2011","15,685.21","15,487.75","15,727.31","15,377.04","22.05K","3.36%"
"Dec 20, 2011","15,175.08","15,436.12","15,448.13","15,135.86","20.85K","-1.33%"
"Dec 19, 2011","15,379.34","15,440.10","15,440.10","15,190.74","17.92K","-0.72%"
"Dec 16, 2011","15,491.35","15,868.78","16,068.90","15,425.20","20.48K","-2.18%"
"Dec 15, 2011","15,836.47","15,739.05","15,908.02","15,596.22","19.82K","-0.28%"
"Dec 14, 2011","15,881.14","15,963.75","16,133.41","15,855.12","19.09K","-0.76%"
"Dec 13, 2011","16,002.51","15,778.62","16,079.38","15,771.59","23.51K","0.83%"
"Dec 12, 2011","15,870.35","16,354.96","16,360.32","15,839.96","21.12K","-2.12%"
"Dec 09, 2011","16,213.46","16,258.44","16,382.57","16,142.32","18.40K","-1.67%"
"Dec 08, 2011","16,488.24","16,819.74","16,847.82","16,421.55","15.97K","-2.30%"
"Dec 07, 2011","16,877.06","16,830.04","17,003.71","16,781.62","13.95K","0.43%"
"Dec 05, 2011","16,805.33","16,812.30","16,863.10","16,691.21","13.38K","-0.25%"
"Dec 02, 2011","16,846.83","16,493.98","16,888.84","16,428.66","28.68K","2.20%"
"Dec 01, 2011","16,483.45","16,555.93","16,718.11","16,430.61","19.76K","2.23%"
"Nov 30, 2011","16,123.46","15,868.96","16,179.56","15,849.57","16.88K","0.72%"
"Nov 29, 2011","16,008.34","16,210.37","16,210.37","15,952.54","14.90K","-0.98%"
"Nov 28, 2011","16,167.13","15,890.80","16,186.68","15,888.28","20.18K","3.01%"
"Nov 25, 2011","15,695.43","15,781.25","15,891.05","15,645.78","19.16K","-1.03%"
"Nov 24, 2011","15,858.49","15,715.81","15,901.30","15,479.97","18.61K","1.01%"
"Nov 23, 2011","15,699.97","15,969.60","15,969.60","15,478.69","17.33K","-2.27%"
"Nov 22, 2011","16,065.42","15,995.69","16,212.95","15,970.11","19.45K","0.75%"
"Nov 21, 2011","15,946.10","16,297.03","16,297.03","15,900.30","21.40K","-2.60%"
"Nov 18, 2011","16,371.51","16,387.70","16,396.69","16,164.99","21.66K","-0.55%"
"Nov 17, 2011","16,461.71","16,754.68","16,807.15","16,408.50","17.05K","-1.87%"
"Nov 16, 2011","16,775.87","16,872.30","16,878.30","16,641.65","19.55K","-0.63%"
"Nov 15, 2011","16,882.67","17,081.62","17,172.09","16,837.56","17.94K","-1.38%"
"Nov 14, 2011","17,118.74","17,348.52","17,391.99","17,094.43","14.99K","-0.43%"
"Nov 11, 2011","17,192.82","17,187.89","17,279.23","17,096.84","18.14K","-0.97%"
"Nov 09, 2011","17,362.10","17,641.98","17,658.34","17,331.23","15.07K","-1.18%"
"Nov 08, 2011","17,569.53","17,593.67","17,632.23","17,455.22","10.94K","0.04%"
"Nov 04, 2011","17,562.61","17,674.70","17,702.26","17,474.39","18.49K","0.46%"
"Nov 03, 2011","17,481.93","17,430.69","17,527.10","17,278.03","16.91K","0.10%"
"Nov 02, 2011","17,464.85","17,347.70","17,615.92","17,337.65","15.48K","-0.09%"
"Nov 01, 2011","17,480.83","17,540.55","17,661.78","17,422.47","17.65K","-1.27%"
"Oct 31, 2011","17,705.01","17,806.21","17,813.11","17,668.27","15.84K","-0.56%"
"Oct 28, 2011","17,804.80","17,671.86","17,908.13","17,671.86","23.75K","2.98%"
"Oct 26, 2011","17,288.83","17,336.34","17,350.49","17,273.52","4.90K","0.20%"
"Oct 25, 2011","17,254.86","17,012.79","17,322.13","16,900.26","17.51K","1.86%"
"Oct 24, 2011","16,939.28","17,011.06","17,104.88","16,898.60","12.67K","0.92%"
"Oct 21, 2011","16,785.64","16,975.79","17,032.32","16,752.21","13.80K","-0.89%"
"Oct 20, 2011","16,936.89","16,911.85","16,962.06","16,744.99","11.95K","-0.87%"
"Oct 19, 2011","17,085.34","16,883.36","17,106.99","16,874.34","11.33K","2.01%"
"Oct 18, 2011","16,748.29","16,817.38","16,824.76","16,669.04","14.07K","-1.63%"
"Oct 17, 2011","17,025.09","17,176.05","17,188.55","16,928.38","18.37K","-0.34%"
"Oct 14, 2011","17,082.69","16,836.83","17,112.45","16,828.45","15.45K","1.18%"
"Oct 13, 2011","16,883.92","17,048.00","17,084.07","16,854.03","17.90K","-0.44%"
"Oct 12, 2011","16,958.39","16,660.43","16,987.06","16,608.57","21.26K","2.55%"
"Oct 11, 2011","16,536.47","16,668.15","16,774.12","16,510.71","20.07K","-0.13%"
"Oct 10, 2011","16,557.23","16,270.07","16,595.93","16,230.77","17.26K","2.00%"
"Oct 07, 2011","16,232.54","16,222.49","16,347.48","16,148.97","16.88K","2.79%"
"Oct 05, 2011","15,792.41","15,967.72","16,044.91","15,760.53","18.87K","-0.46%"
"Oct 04, 2011","15,864.86","16,081.77","16,202.38","15,745.43","19.65K","-1.77%"
"Oct 03, 2011","16,151.45","16,255.97","16,255.97","16,056.33","17.02K","-1.84%"
"Sep 30, 2011","16,453.76","16,599.74","16,745.16","16,404.78","19.90K","-1.46%"
"Sep 29, 2011","16,698.07","16,387.91","16,756.08","16,316.66","19.16K","1.53%"
"Sep 28, 2011","16,446.02","16,663.26","16,663.26","16,363.63","19.56K","-0.47%"
"Sep 27, 2011","16,524.03","16,289.32","16,551.65","16,282.74","16.15K","2.95%"
"Sep 26, 2011","16,051.10","16,209.19","16,209.19","15,801.01","18.83K","-0.69%"
"Sep 23, 2011","16,162.06","16,222.37","16,368.41","16,052.47","22.07K","-1.22%"
"Sep 22, 2011","16,361.15","16,827.85","16,833.61","16,316.03","18.30K","-4.13%"
"Sep 21, 2011","17,065.15","17,128.83","17,191.12","17,000.61","13.39K","-0.20%"
"Sep 20, 2011","17,099.28","16,768.63","17,135.44","16,758.69","14.29K","2.11%"
"Sep 19, 2011","16,745.35","16,865.93","16,865.93","16,709.41","11.59K","-1.11%"
"Sep 16, 2011","16,933.83","17,047.73","17,122.54","16,889.58","20.33K","0.34%"
"Sep 15, 2011","16,876.54","16,837.76","16,922.40","16,545.47","15.45K","1.00%"
"Sep 14, 2011","16,709.60","16,522.71","16,754.22","16,387.38","15.91K","1.47%"
"Sep 13, 2011","16,467.44","16,618.17","16,766.19","16,374.68","14.58K","-0.21%"
"Sep 12, 2011","16,501.74","16,668.25","16,668.25","16,393.04","13.46K","-2.17%"
"Sep 09, 2011","16,866.97","17,189.75","17,211.80","16,830.95","11.78K","-1.74%"
"Sep 08, 2011","17,165.54","17,118.08","17,209.66","16,987.37","12.22K","0.59%"
"Sep 07, 2011","17,065.00","16,922.31","17,157.21","16,922.31","17.33K","1.20%"
"Sep 06, 2011","16,862.81","16,663.73","16,894.73","16,488.30","14.56K","0.89%"
"Sep 05, 2011","16,713.33","16,678.34","16,760.07","16,561.46","12.16K","-0.64%"
"Sep 02, 2011","16,821.46","16,963.67","16,989.86","16,688.06","12.75K","0.87%"
"Aug 30, 2011","16,676.75","16,585.10","16,714.70","16,443.35","15.19K","1.59%"
"Aug 29, 2011","16,416.33","16,080.74","16,462.03","16,068.73","11.14K","3.58%"
"Aug 26, 2011","15,848.83","16,155.55","16,256.38","15,765.53","14.10K","-1.84%"
"Aug 25, 2011","16,146.33","16,338.14","16,373.84","16,104.34","12.16K","-0.85%"
"Aug 24, 2011","16,284.98","16,490.78","16,533.22","16,253.78","13.68K","-1.29%"
"Aug 23, 2011","16,498.47","16,446.85","16,549.21","16,213.18","11.37K","0.96%"
"Aug 22, 2011","16,341.70","16,155.99","16,370.46","16,046.48","11.69K","1.24%"
"Aug 19, 2011","16,141.67","16,237.78","16,287.72","15,987.77","16.38K","-1.99%"
"Aug 18, 2011","16,469.79","16,910.27","16,916.81","16,433.31","14.69K","-2.20%"
"Aug 17, 2011","16,840.80","16,782.24","17,000.38","16,708.98","14.94K","0.66%"
"Aug 16, 2011","16,730.94","17,015.99","17,035.49","16,673.52","12.65K","-0.65%"
"Aug 12, 2011","16,839.63","17,246.88","17,246.88","16,784.56","13.35K","-1.29%"
"Aug 11, 2011","17,059.40","17,056.61","17,207.82","17,012.95","9.50K","-0.42%"
"Aug 10, 2011","17,130.51","17,244.71","17,256.46","17,022.25","15.58K","1.62%"
"Aug 09, 2011","16,857.91","16,517.87","17,135.04","16,432.00","23.75K","-0.78%"
"Aug 08, 2011","16,990.18","16,907.57","17,247.87","16,759.45","19.96K","-1.82%"
"Aug 05, 2011","17,305.87","17,350.37","17,358.18","16,990.91","20.41K","-2.19%"
"Aug 04, 2011","17,693.18","17,983.86","18,032.55","17,664.73","10.98K","-1.38%"
"Aug 03, 2011","17,940.55","17,970.19","18,005.76","17,859.50","13.43K","-0.94%"
"Aug 02, 2011","18,109.89","18,283.55","18,283.55","18,037.87","11.07K","-1.12%"
"Aug 01, 2011","18,314.33","18,352.23","18,440.07","18,219.25","9.62K","0.64%"
"Jul 29, 2011","18,197.20","18,194.15","18,334.27","18,131.86","16.10K","-0.07%"
"Jul 28, 2011","18,209.52","18,300.55","18,327.85","18,188.88","12.23K","-1.21%"
"Jul 27, 2011","18,432.25","18,571.15","18,578.55","18,358.76","14.16K","-0.46%"
"Jul 26, 2011","18,518.22","18,898.19","18,944.60","18,481.63","15.53K","-1.87%"
"Jul 25, 2011","18,871.29","18,753.35","18,932.27","18,670.84","22.82K","0.80%"
"Jul 22, 2011","18,722.30","18,565.04","18,747.06","18,533.43","14.88K","1.55%"
