"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 30, 2011","4,624.30","4,659.95","4,690.45","4,608.90","113.90M","-0.47%"
"Dec 29, 2011","4,646.25","4,681.15","4,701.80","4,639.05","146.00M","-1.27%"
"Dec 28, 2011","4,705.80","4,756.20","4,756.20","4,685.65","117.46M","-0.94%"
"Dec 27, 2011","4,750.50","4,780.20","4,800.50","4,723.65","104.83M","-0.60%"
"Dec 26, 2011","4,779.00","4,718.15","4,787.25","4,718.15","90.85M","1.38%"
"Dec 23, 2011","4,714.00","4,763.20","4,763.45","4,693.20","141.98M","-0.42%"
"Dec 22, 2011","4,733.85","4,636.90","4,740.60","4,632.95","170.79M","0.87%"
"Dec 21, 2011","4,693.15","4,636.45","4,707.35","4,601.95","211.31M","3.28%"
"Dec 20, 2011","4,544.20","4,635.80","4,637.25","4,531.15","195.30M","-1.49%"
"Dec 19, 2011","4,613.10","4,623.15","4,623.15","4,555.90","176.45M","-0.83%"
"Dec 16, 2011","4,651.60","4,752.50","4,818.85","4,628.20","202.06M","-2.00%"
"Dec 15, 2011","4,746.35","4,712.80","4,768.65","4,673.85","200.32M","-0.35%"
"Dec 14, 2011","4,763.25","4,788.70","4,839.55","4,750.40","176.25M","-0.78%"
"Dec 13, 2011","4,800.60","4,733.60","4,824.70","4,728.50","181.04M","0.76%"
"Dec 12, 2011","4,764.60","4,906.85","4,910.25","4,755.55","178.34M","-2.10%"
"Dec 09, 2011","4,866.70","4,870.75","4,918.35","4,841.75","173.61M","-1.56%"
"Dec 08, 2011","4,943.65","5,037.40","5,049.05","4,921.45","178.85M","-2.35%"
"Dec 07, 2011","5,062.60","5,050.10","5,099.25","5,032.25","169.43M","0.47%"
"Dec 05, 2011","5,039.15","5,036.50","5,055.40","5,002.55","137.25M","-0.22%"
"Dec 02, 2011","5,050.15","4,940.85","5,062.55","4,918.40","180.19M","2.29%"
"Dec 01, 2011","4,936.85","4,970.85","5,011.90","4,916.70","183.92M","2.17%"
"Nov 30, 2011","4,832.05","4,766.15","4,851.55","4,754.80","282.22M","0.56%"
"Nov 29, 2011","4,805.10","4,864.20","4,866.10","4,787.10","155.57M","-0.95%"
"Nov 28, 2011","4,851.30","4,769.30","4,859.10","4,766.40","145.26M","3.00%"
"Nov 25, 2011","4,710.05","4,731.30","4,767.30","4,693.10","162.84M","-0.98%"
"Nov 24, 2011","4,756.45","4,707.55","4,771.10","4,639.10","213.36M","1.06%"
"Nov 23, 2011","4,706.45","4,779.50","4,779.50","4,640.95","178.82M","-2.20%"
"Nov 22, 2011","4,812.35","4,794.85","4,854.00","4,782.55","174.21M","0.71%"
"Nov 21, 2011","4,778.35","4,873.80","4,873.80","4,764.80","154.12M","-2.60%"
"Nov 18, 2011","4,905.80","4,899.15","4,915.90","4,837.95","192.27M","-0.59%"
"Nov 17, 2011","4,934.75","5,027.10","5,036.80","4,919.45","149.24M","-1.90%"
"Nov 16, 2011","5,030.45","5,059.10","5,065.20","4,989.50","161.41M","-0.75%"
"Nov 15, 2011","5,068.50","5,131.20","5,158.75","5,052.85","149.59M","-1.55%"
"Nov 14, 2011","5,148.35","5,217.35","5,228.90","5,140.55","134.45M","-0.40%"
"Nov 11, 2011","5,168.85","5,159.75","5,198.60","5,142.25","168.51M","-1.00%"
"Nov 09, 2011","5,221.05","5,309.70","5,317.50","5,211.75","146.43M","-1.29%"
"Nov 08, 2011","5,289.35","5,292.25","5,304.25","5,252.00","120.65M","0.10%"
"Nov 04, 2011","5,284.20","5,325.40","5,326.45","5,256.80","149.02M","0.35%"
"Nov 03, 2011","5,265.75","5,241.55","5,281.60","5,201.85","160.28M","0.14%"
"Nov 02, 2011","5,258.45","5,216.75","5,300.10","5,204.95","144.38M","0.01%"
"Nov 01, 2011","5,257.95","5,278.60","5,310.85","5,238.30","152.49M","-1.29%"
"Oct 31, 2011","5,326.60","5,358.90","5,360.25","5,314.60","149.48M","-0.64%"
"Oct 28, 2011","5,360.70","5,341.90","5,399.70","5,322.80","246.08M","3.05%"
"Oct 26, 2011","5,201.80","5,214.95","5,219.25","5,196.15","27.50M","0.20%"
"Oct 25, 2011","5,191.60","5,137.90","5,211.00","5,085.55","221.08M","1.83%"
"Oct 24, 2011","5,098.35","5,114.70","5,145.65","5,084.75","126.07M","0.96%"
"Oct 21, 2011","5,049.95","5,106.60","5,120.75","5,037.95","109.89M","-0.82%"
"Oct 20, 2011","5,091.90","5,086.55","5,099.00","5,033.95","119.33M","-0.92%"
"Oct 19, 2011","5,139.15","5,080.45","5,148.05","5,075.30","117.47M","2.02%"
"Oct 18, 2011","5,037.50","5,049.45","5,057.50","5,011.05","125.55M","-1.58%"
"Oct 17, 2011","5,118.25","5,156.20","5,160.20","5,084.50","130.46M","-0.27%"
"Oct 14, 2011","5,132.30","5,057.35","5,141.40","5,056.60","157.78M","1.07%"
"Oct 13, 2011","5,077.85","5,130.80","5,136.95","5,067.65","157.30M","-0.42%"
"Oct 12, 2011","5,099.40","5,011.20","5,109.80","4,997.65","188.01M","2.51%"
"Oct 11, 2011","4,974.35","5,019.90","5,045.10","4,964.00","182.04M","-0.11%"
"Oct 10, 2011","4,979.60","4,886.85","4,991.15","4,882.05","188.84M","1.87%"
"Oct 07, 2011","4,888.05","4,883.65","4,922.60","4,861.20","198.29M","2.88%"
"Oct 05, 2011","4,751.30","4,791.30","4,827.80","4,741.00","179.14M","-0.44%"
"Oct 04, 2011","4,772.15","4,823.50","4,869.75","4,728.30","184.41M","-1.60%"
"Oct 03, 2011","4,849.50","4,874.40","4,879.15","4,823.90","148.92M","-1.90%"
"Sep 30, 2011","4,943.25","4,990.15","5,025.55","4,924.30","201.96M","-1.44%"
"Sep 29, 2011","5,015.45","4,924.20","5,034.25","4,906.00","216.16M","1.41%"
"Sep 28, 2011","4,945.90","5,005.50","5,006.05","4,918.45","166.87M","-0.51%"
"Sep 27, 2011","4,971.25","4,905.15","4,982.95","4,905.15","151.31M","2.81%"
"Sep 26, 2011","4,835.40","4,878.60","4,879.80","4,758.85","156.08M","-0.66%"
"Sep 23, 2011","4,867.75","4,873.75","4,930.25","4,829.60","205.77M","-1.14%"
"Sep 22, 2011","4,923.65","5,054.45","5,059.85","4,907.75","147.61M","-4.08%"
"Sep 21, 2011","5,133.25","5,153.75","5,168.40","5,109.85","132.92M","-0.14%"
"Sep 20, 2011","5,140.20","5,042.55","5,149.90","5,035.25","146.60M","2.15%"
"Sep 19, 2011","5,031.95","5,068.40","5,068.40","5,019.25","115.74M","-1.03%"
"Sep 16, 2011","5,084.25","5,123.35","5,143.60","5,068.10","225.19M","0.17%"
"Sep 15, 2011","5,075.70","5,062.35","5,091.45","4,967.45","153.65M","1.26%"
"Sep 14, 2011","5,012.55","4,965.05","5,026.15","4,917.40","154.28M","1.45%"
"Sep 13, 2011","4,940.95","4,977.80","5,030.15","4,911.05","146.00M","-0.12%"
"Sep 12, 2011","4,946.80","4,981.70","4,985.60","4,911.25","135.50M","-2.23%"
"Sep 09, 2011","5,059.45","5,161.30","5,163.75","5,046.80","158.71M","-1.82%"
"Sep 08, 2011","5,153.25","5,139.20","5,169.25","5,098.25","140.86M","0.56%"
"Sep 07, 2011","5,124.65","5,080.15","5,154.50","5,076.30","193.86M","1.19%"
"Sep 06, 2011","5,064.30","4,993.35","5,072.90","4,942.90","183.68M","0.94%"
"Sep 05, 2011","5,017.20","4,998.90","5,030.30","4,964.45","162.90M","-0.45%"
"Sep 02, 2011","5,040.00","5,109.80","5,113.70","4,993.35","195.06M","0.78%"
"Aug 30, 2011","5,001.00","4,973.25","5,016.25","4,927.55","181.54M","1.65%"
"Aug 29, 2011","4,919.60","4,806.20","4,934.40","4,806.05","145.12M","3.62%"
"Aug 26, 2011","4,747.80","4,839.25","4,872.00","4,720.00","149.72M","-1.90%"
"Aug 25, 2011","4,839.60","4,914.65","4,915.85","4,825.05","184.91M","-1.01%"
"Aug 24, 2011","4,888.90","4,934.35","4,962.40","4,875.30","129.41M","-1.21%"
"Aug 23, 2011","4,948.90","4,925.15","4,965.80","4,863.80","130.01M","1.02%"
"Aug 22, 2011","4,898.80","4,843.70","4,910.05","4,808.75","123.81M","1.10%"
"Aug 19, 2011","4,845.65","4,859.30","4,893.60","4,796.10","166.70M","-1.99%"
"Aug 18, 2011","4,944.15","5,077.95","5,078.60","4,932.15","139.82M","-2.22%"
"Aug 17, 2011","5,056.60","5,030.30","5,112.15","5,017.25","143.34M","0.41%"
"Aug 16, 2011","5,035.80","5,125.75","5,132.20","5,015.40","130.90M","-0.73%"
"Aug 12, 2011","5,072.95","5,194.40","5,194.45","5,053.35","128.84M","-1.27%"
"Aug 11, 2011","5,138.30","5,128.00","5,184.95","5,121.00","113.04M","-0.44%"
"Aug 10, 2011","5,161.00","5,196.55","5,197.95","5,123.35","158.40M","1.74%"
"Aug 09, 2011","5,072.85","4,947.90","5,167.00","4,946.45","233.87M","-0.89%"
"Aug 08, 2011","5,118.50","5,083.85","5,204.20","5,054.05","188.31M","-1.78%"
"Aug 05, 2011","5,211.25","5,204.35","5,229.65","5,116.45","196.02M","-2.26%"
"Aug 04, 2011","5,331.80","5,412.40","5,434.50","5,323.15","118.48M","-1.35%"
"Aug 03, 2011","5,404.80","5,402.00","5,422.60","5,378.85","133.22M","-0.95%"
"Aug 02, 2011","5,456.55","5,493.20","5,496.30","5,433.65","110.37M","-1.09%"
"Aug 01, 2011","5,516.80","5,527.50","5,551.90","5,486.45","98.96M","0.63%"
"Jul 29, 2011","5,482.00","5,479.00","5,520.30","5,453.95","156.13M","-0.10%"
"Jul 28, 2011","5,487.75","5,492.40","5,512.10","5,475.65","164.52M","-1.06%"
"Jul 27, 2011","5,546.80","5,588.55","5,591.70","5,521.50","122.32M","-0.50%"
"Jul 26, 2011","5,574.85","5,688.45","5,702.25","5,560.15","134.11M","-1.86%"
"Jul 25, 2011","5,680.30","5,633.80","5,700.55","5,616.70","142.01M","0.82%"
"Jul 22, 2011","5,633.95","5,576.95","5,642.20","5,567.10","106.78M","1.67%"
"Jul 21, 2011","5,541.60","5,554.60","5,578.90","5,532.70","76.33M","-0.46%"
"Jul 20, 2011","5,567.05","5,642.05","5,645.40","5,555.10","87.09M","-0.83%"
"Jul 19, 2011","5,613.55","5,569.85","5,627.65","5,557.20","86.56M","0.84%"
"Jul 18, 2011","5,567.05","5,581.75","5,596.60","5,550.95","73.61M","-0.25%"
"Jul 15, 2011","5,581.10","5,602.95","5,631.70","5,562.75","80.43M","-0.33%"
"Jul 14, 2011","5,599.80","5,569.00","5,653.95","5,541.70","123.02M","0.26%"
"Jul 13, 2011","5,585.45","5,542.05","5,596.15","5,541.40","106.02M","1.07%"
"Jul 12, 2011","5,526.15","5,556.90","5,580.25","5,496.95","104.91M","-1.60%"
"Jul 11, 2011","5,616.10","5,648.05","5,652.90","5,601.70","78.90M","-0.79%"
"Jul 08, 2011","5,660.65","5,734.65","5,740.40","5,651.05","129.28M","-1.19%"
"Jul 07, 2011","5,728.95","5,633.35","5,737.15","5,632.95","112.22M","1.84%"
"Jul 06, 2011","5,625.45","5,622.70","5,655.40","5,610.75","86.11M","-0.12%"
"Jul 05, 2011","5,632.10","5,659.85","5,659.85","5,612.30","100.78M","-0.33%"
"Jul 04, 2011","5,650.50","5,679.55","5,679.65","5,633.10","103.53M","0.41%"
"Jul 01, 2011","5,627.20","5,705.75","5,705.80","5,609.75","141.09M","-0.36%"
"Jun 30, 2011","5,647.40","5,614.50","5,657.90","5,606.10","179.22M","0.84%"
"Jun 29, 2011","5,600.45","5,566.50","5,608.65","5,566.50","124.59M","0.99%"
"Jun 28, 2011","5,545.30","5,548.85","5,558.30","5,496.35","114.41M","0.34%"
"Jun 27, 2011","5,526.60","5,441.20","5,552.65","5,434.25","143.40M","1.01%"
"Jun 24, 2011","5,471.25","5,343.40","5,477.85","5,343.40","140.10M","2.84%"
"Jun 23, 2011","5,320.00","5,269.10","5,330.60","5,252.25","89.00M","0.79%"
"Jun 22, 2011","5,278.30","5,304.65","5,310.50","5,262.50","95.77M","0.05%"
"Jun 21, 2011","5,275.85","5,280.80","5,322.45","5,257.00","107.19M","0.34%"
"Jun 20, 2011","5,257.90","5,372.20","5,377.40","5,195.90","135.34M","-2.02%"
"Jun 17, 2011","5,366.40","5,412.50","5,421.15","5,355.85","97.88M","-0.56%"
"Jun 16, 2011","5,396.75","5,419.65","5,447.50","5,389.80","128.06M","-0.93%"
"Jun 15, 2011","5,447.50","5,494.45","5,499.35","5,438.95","95.88M","-0.96%"
"Jun 14, 2011","5,500.50","5,485.60","5,520.15","5,484.20","97.84M","0.32%"
"Jun 13, 2011","5,482.80","5,469.85","5,496.70","5,436.95","80.11M","-0.05%"
"Jun 10, 2011","5,485.80","5,518.05","5,521.45","5,457.45","84.19M","-0.64%"
"Jun 09, 2011","5,521.05","5,523.55","5,540.10","5,502.05","87.03M","-0.10%"
"Jun 08, 2011","5,526.85","5,535.25","5,556.60","5,514.90","92.93M","-0.53%"
"Jun 07, 2011","5,556.15","5,509.15","5,570.10","5,507.80","81.86M","0.44%"
"Jun 06, 2011","5,532.05","5,504.30","5,542.65","5,479.85","77.14M","0.28%"
"Jun 03, 2011","5,516.75","5,565.70","5,604.95","5,507.20","101.02M","-0.61%"
"Jun 02, 2011","5,550.35","5,529.90","5,568.20","5,521.95","110.95M","-0.74%"
